steamid,publisherclass,copiessold
48240,AAA,866713
304430,Indie,1839754
22320,AAA,1378939
420290,Indie,1429852
445980,Indie,1348855
460790,AA,1377466
2231450,Indie,738963
1222700,AAA,1869499
930210,Indie,798821
45760,AA,809723
238460,Indie,4317241
368260,AAA,365673
17460,AAA,1276273
15100,AAA,1348032
1929610,Indie,974327
1475810,AAA,424615
712100,AA,496238
2140330,AAA,219013
588430,AAA,7087160
410900,Indie,1465793
1211630,Indie,510301
704850,AA,2232329
1971650,AA,268146
994280,Indie,1047927
269210,Indie,2533513
880940,Indie,1457034
1282730,AA,1496269
1973530,Indie,1415379
780290,Indie,496939
1490890,AA,324541
1549250,Indie,1266166
383980,Indie,902090
238010,AA,1962357
254700,AA,1987151
219150,AA,4077027
285920,Indie,765250
42910,AAA,2659351
410320,Indie,481786
32440,AA,1347142
803330,AA,503843
1382330,AA,365161
895400,Indie,838842
1158160,AA,531402
2186680,Indie,266384
992300,Indie,1340244
568220,Indie,1094716
500,AAA,1743390
287290,AAA,1510991
48190,AAA,1455145
339600,Indie,360445
311310,Indie,289664
269950,Indie,366636
1985810,AAA,471902
1548850,Indie,318507
274170,AA,2345964
251060,Indie,848589
865360,Indie,1169628
374040,AA,1185820
460950,AA,1370898
1522820,Indie,769825
763890,Indie,659952
1987080,Indie,2985200
1049410,Indie,961332
246900,Indie,1356349
12200,AAA,1687777
427100,Indie,217010
429660,AA,666921
34030,AA,1608393
290080,Indie,508407
1213210,AAA,928932
1703340,Indie,737368
320240,AA,508495
1150690,Indie,756290
589360,AA,413796
899440,AA,426102
212200,AA,332109
611660,AAA,279359
718850,AAA,385850
1672970,AAA,379290
24240,AA,2426245
816090,AA,676672
1062520,Indie,781690
1029780,Indie,633337
265300,AA,935132
108800,AAA,1128624
1789480,AA,450298
831560,AA,136520
302670,Indie,850950
312520,Indie,1039103
489630,AA,431032
32370,AA,2162480
701160,AA,1216063
41700,Indie,1225909
1162520,Indie,1193303
837470,Indie,1025600
595520,AA,360904
1016920,AA,1248361
383120,Indie,1056356
979690,AA,692471
1268750,AA,475278
1895880,AA,201039
48000,Indie,3084787
383150,AA,2001062
1171690,AAA,636294
268050,AAA,1062563
1588010,AAA,364266
250320,Indie,1108879
1451190,Indie,388568
222480,AA,684595
969990,AA,588450
1161580,AA,550600
1549970,Indie,599701
329050,AAA,767916
362960,AAA,471389
1341290,Indie,704872
559650,Indie,1560876
386070,Indie,896117
1013320,Indie,294865
32470,AA,1112572
1128920,Indie,309242
557340,AA,878018
2357570,Indie,7170872
65800,Indie,1434553
47780,AAA,1241214
201790,Indie,1790057
1030830,AAA,731815
